col,description,units,ordinal_map,nominal_labels
aux_cn_ratio_cl,carbon-to-nitrogen ratio in topsoil,,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High carbon-to-nitrogen ratio in topsoil (10.5-11.2)"", ""1"": ""Low carbon-to-nitrogen ratio in topsoil (9.3-10.0)"", ""2"": ""Medium carbon-to-nitrogen ratio in topsoil (10.0-10.5)"", ""3"": ""Very high carbon-to-nitrogen ratio in topsoil (>11.2)"", ""4"": ""Very low carbon-to-nitrogen ratio in topsoil (<9.3)""}"
aux_c_layer_delta_cl,topsoil carbon enrichment over subsoil,g/kg,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High topsoil carbon enrichment over subsoil (5.2-6.4 g/kg)"", ""1"": ""Low topsoil carbon enrichment over subsoil (3.3-4.3 g/kg)"", ""2"": ""Medium topsoil carbon enrichment over subsoil (4.3-5.2 g/kg)"", ""3"": ""Very high topsoil carbon enrichment over subsoil (>6.4 g/kg)"", ""4"": ""Very low topsoil carbon enrichment over subsoil (<3.3 g/kg)""}"
aux_whc_proxy_cl,estimated water holding capacity (Saxton & Rawls),mm/m,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High estimated water holding capacity (135-143 mm/m)"", ""1"": ""Low estimated water holding capacity (102-126 mm/m)"", ""2"": ""Medium estimated water holding capacity (126-135 mm/m)"", ""3"": ""Very high estimated water holding capacity (>143 mm/m)"", ""4"": ""Very low estimated water holding capacity (<102 mm/m)""}"
aux_aridity_index_cl,aridity index (CMD / MAP),,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High aridity index (climatic moisture deficit over MAP) (0.43-0.62)"", ""1"": ""Low aridity index (climatic moisture deficit over MAP) (0.24-0.36)"", ""2"": ""Medium aridity index (climatic moisture deficit over MAP) (0.36-0.43)"", ""3"": ""Very high aridity index (climatic moisture deficit over MAP) (>0.62)"", ""4"": ""Very low aridity index (climatic moisture deficit over MAP) (<0.24)""}"
