col,description,units,ordinal_map,nominal_labels
aux_ndvi_mean_djf_cl,"mean NDVI (Dec-Jan-Feb, dry season floor)",,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High mean NDVI in December-January-February (0.57-0.63)"", ""1"": ""Low mean NDVI in December-January-February (0.45-0.52)"", ""2"": ""Medium mean NDVI in December-January-February (0.52-0.57)"", ""3"": ""Very high mean NDVI in December-January-February (>0.63)"", ""4"": ""Very low mean NDVI in December-January-February (<0.45)""}"
aux_ndvi_mean_mam_cl,mean NDVI (Mar-Apr-May / long rains),,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High mean NDVI in March-April-May (long rains) (0.60-0.65)"", ""1"": ""Low mean NDVI in March-April-May (long rains) (0.46-0.54)"", ""2"": ""Medium mean NDVI in March-April-May (long rains) (0.54-0.60)"", ""3"": ""Very high mean NDVI in March-April-May (long rains) (>0.65)"", ""4"": ""Very low mean NDVI in March-April-May (long rains) (<0.46)""}"
aux_ndvi_mean_jja_cl,"mean NDVI (Jun-Jul-Aug, inter-season)",,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High mean NDVI in June-July-August (0.61-0.67)"", ""1"": ""Low mean NDVI in June-July-August (0.40-0.55)"", ""2"": ""Medium mean NDVI in June-July-August (0.55-0.61)"", ""3"": ""Very high mean NDVI in June-July-August (>0.67)"", ""4"": ""Very low mean NDVI in June-July-August (<0.40)""}"
aux_ndvi_mean_son_cl,mean NDVI (Sep-Oct-Nov / short rains),,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High mean NDVI in September-October-November (short rains) (0.60-0.65)"", ""1"": ""Low mean NDVI in September-October-November (short rains) (0.36-0.52)"", ""2"": ""Medium mean NDVI in September-October-November (short rains) (0.52-0.60)"", ""3"": ""Very high mean NDVI in September-October-November (short rains) (>0.65)"", ""4"": ""Very low mean NDVI in September-October-November (short rains) (<0.36)""}"
aux_ndvi_mean_grow_cl,mean NDVI during growing season,,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High mean NDVI in the growing season (0.59-0.64)"", ""1"": ""Low mean NDVI in the growing season (0.43-0.53)"", ""2"": ""Medium mean NDVI in the growing season (0.53-0.59)"", ""3"": ""Very high mean NDVI in the growing season (>0.64)"", ""4"": ""Very low mean NDVI in the growing season (<0.43)""}"
aux_ndvi_contrast_mam_jja_cl,long rains green-up amplitude (MAM minus JJA NDVI),,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High long rains green-up contrast (MAM minus JJA NDVI) (0.02-0.15)"", ""1"": ""Low long rains green-up contrast (MAM minus JJA NDVI) (-0.10--0.04)"", ""2"": ""Medium long rains green-up contrast (MAM minus JJA NDVI) (-0.04-0.02)"", ""3"": ""Very high long rains green-up contrast (MAM minus JJA NDVI) (>0.15)"", ""4"": ""Very low long rains green-up contrast (MAM minus JJA NDVI) (<-0.10)""}"
aux_ndvi_contrast_son_djf_cl,short rains green-up amplitude (SON minus DJF NDVI),,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High short rains green-up contrast (SON minus DJF NDVI) (0.03-0.11)"", ""1"": ""Low short rains green-up contrast (SON minus DJF NDVI) (-0.16--0.04)"", ""2"": ""Medium short rains green-up contrast (SON minus DJF NDVI) (-0.04-0.03)"", ""3"": ""Very high short rains green-up contrast (SON minus DJF NDVI) (>0.11)"", ""4"": ""Very low short rains green-up contrast (SON minus DJF NDVI) (<-0.16)""}"
