col,description,units,ordinal_map,nominal_labels
aux_dem_cl,elevation above sea level,m,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High elevation above sea-level (1673-2030 m)"", ""1"": ""Low elevation above sea-level (945-1384 m)"", ""2"": ""Medium elevation above sea-level (1384-1673 m)"", ""3"": ""Very high elevation above sea-level (2030-3398 m)"", ""4"": ""Very low elevation above sea-level (<945 m)""}"
aux_aspect_cl,terrain aspect (compass direction),,,"{""0"": ""East"", ""1"": ""North"", ""2"": ""Northeast"", ""3"": ""Northwest"", ""4"": ""South "", ""5"": ""Southeast"", ""6"": ""Southwest"", ""7"": ""West""}"
aux_slope_cl,terrain slope,degrees,"{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 0}","{""0"": ""Gentle slope (5-10 degrees)"", ""1"": ""Moderate slope (10-15 degrees)"", ""2"": ""Moderately steep slope (15-22 degrees)"", ""3"": ""Very gentle slope (<5 degrees)""}"
aux_chili_cl,Continuous Heat-Insolation Load index,,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High Continuous Heat-Insolation Load (241-249)"", ""1"": ""Low Continuous Heat-Insolation Load (200-227)"", ""2"": ""Medium Continuous Heat-Insolation Load (227-241)"", ""3"": ""Very high Continuous Heat-Insolation Load (249-254)"", ""4"": ""Very low Continuous Heat-Insolation Load (<200)""}"
aux_top_div_cl,topographic diversity,,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High topographic diversity (0.40-0.60)"", ""1"": ""Low topographic diversity (0.15-0.20)"", ""2"": ""Medium topographic diversity (0.20-0.40)"", ""3"": ""Very high topographic diversity (0.60-1.0)"", ""4"": ""Very low topographic diversity (<0.15)""}"
aux_landform_cl,geomorphological landform class,,,"{""0"": ""Cliff"", ""1"": ""Lower slope"", ""2"": ""Lower slope (flat)"", ""3"": ""Lower slope (warm)"", ""4"": ""Mountain/divide"", ""5"": ""Peak/ridge"", ""6"": ""Peak/ridge (warm)"", ""7"": ""Upper slope"", ""8"": ""Upper slope (flat)"", ""9"": ""Upper slope (warm)"", ""10"": ""Valley"", ""11"": ""Valley (narrow)""}"
