col,description,units,ordinal_map,nominal_labels
aux_bd_0_20_cl,bulk density (0-20 cm),g/cm³,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High bulk density at 0-20 cm (1.3-1.4)"", ""1"": ""Low bulk density at 0-20 cm (1.12-1.20)"", ""2"": ""Medium bulk density at 0-20 cm (1.21-1.3)"", ""3"": ""Very high bulk density at 0-20 cm (1.4-1.7)"", ""4"": ""Very low bulk density at 0-20 cm (<1.12)""}"
aux_bd_20_50_cl,bulk density (20-50 cm),g/cm³,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High bulk density at 20-50 cm (1.31-1.41)"", ""1"": ""Low bulk density at 20-50 cm (1.16-1.22)"", ""2"": ""Medium bulk density at 20-50 cm (1.23-1.3)"", ""3"": ""Very high bulk density at 20-50 cm (1.42-1.7)"", ""4"": ""Very low bulk density at 20-50 cm (<1.16)""}"
aux_c_0_20_cl,soil organic carbon (0-20 cm),g/kg,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High organic carbon at 0-20 cm (17.2-21.2 g per kg)"", ""1"": ""Low organic carbon at 0-20 cm (8-12.5 g per kg)"", ""2"": ""Medium organic carbon at 0-20 cm (12.5-17.2 g per kg)"", ""3"": ""Very high organic carbon at 0-20 cm (21.2-40 g per kg)"", ""4"": ""Very low organic carbon at 0-20 cm (<8 g per kg)""}"
aux_c_20_50_cl,soil organic carbon (20-50 cm),g/kg,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High organic carbon at 0-20 cm (11.2-15 g per kg)"", ""1"": ""Low organic carbon at 0-20 cm (5.7-8 g per kg)"", ""2"": ""Medium organic carbon at 0-20 cm (8-11.2 g per kg)"", ""3"": ""Very high organic carbon at 0-20 cm (15-29 g per kg)"", ""4"": ""Very low organic carbon at 0-20 cm (<5.7 g per kg)""}"
aux_ca_0_20_cl,calcium (0-20 cm),ppm,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High extractable calcium at 0-20 cm (1341-2200 ppm)"", ""1"": ""Low extractable calcium at 0-20 cm (600-900 ppm)"", ""2"": ""Medium extractable calcium at 0-20 cm (900-1340 ppm)"", ""3"": ""Very high extractable calcium at 0-20 cm (2200-6634 ppm)"", ""4"": ""Very low extractable calcium at 0-20 cm (<600 ppm)""}"
aux_ca_20_50_cl,calcium (20-50 cm),ppm,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High extractable calcium at 20-50 cm (1211-2000 ppm)"", ""1"": ""Low extractable calcium at 20-50 cm (491-810 ppm)"", ""2"": ""Medium extractable calcium at 20-50 cm (811-1210 ppm)"", ""3"": ""Very high extractable calcium at 20-50 cm (2001-7331 ppm)"", ""4"": ""Very low extractable calcium at 20-50 cm (<490 ppm)""}"
aux_ecx_0_20_cl,effective cation exchange capacity (0-20 cm),cmolc/kg,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High effective cation exchange capacity at 0-20 cm (14-19 cmol (+) per kg)"", ""1"": ""Low effective cation exchange capacity at 0-20 cm (8-10 cmol (+) per kg)"", ""2"": ""Medium effective cation exchange capacity at 0-20 cm (10-14 cmol (+) per kg)"", ""3"": ""Very high effective cation exchange capacity at 0-20 cm (19-60 cmol (+) per kg)"", ""4"": ""Very low effective cation exchange capacity at 0-20 cm (<8 cmol (+) per kg)""}"
aux_ecx_20_50_cl,effective cation exchange capacity (20-50 cm),cmolc/kg,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High effective cation exchange capacity at 20-50 cm (14-19 cmol (+) per kg)"", ""1"": ""Low effective cation exchange capacity at 20-50 cm (8-11 cmol (+) per kg)"", ""2"": ""Medium effective cation exchange capacity at 20-50 cm (11-14 cmol (+) per kg)"", ""3"": ""Very high effective cation exchange capacity at 20-50 cm (19-66 cmol (+) per kg)"", ""4"": ""Very low effective cation exchange capacity at 20-50 cm (<8 cmol (+) per kg)""}"
aux_ma_0_20_cl,extractable magnesium (0-20 cm),ppm,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High extractable magnesium at 0-20 cm (270-490 ppm)"", ""1"": ""Low extractable magnesium at 0-20 cm (133-180 ppm)"", ""2"": ""Medium extractable magnesium at 0-20 cm (180-270 ppm)"", ""3"": ""Very high extractable magnesium at 0-20 cm (490-2440 ppm)"", ""4"": ""Very low extractable magnesium at 0-20 cm (<133 ppm)""}"
aux_ma_20_50_cl,extractable magnesium (20-50 cm),ppm,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4, ""4"": 0}","{""0"": ""High extractable magnesium at 20-50 cm (244-445 ppm)"", ""1"": ""Low extractable magnesium at 20-50 cm (109-163 ppm)"", ""2"": ""Medium extractable magnesium at 20-50 cm (163-244 ppm)"", ""3"": ""Very high extractable magnesium at 20-50 cm (445-2440 ppm)"", ""4"": ""Very low extractable magnesium at 20-50 cm (<109 ppm)""}"
