col,description,units,ordinal_map,nominal_labels
aux_dist_water_cl,distance to nearest surface water,m,"{""0"": 3, ""1"": 2, ""2"": 1, ""3"": 4, ""4"": 0}","{""0"": ""Long distance to surface water (7000-15000 m)"", ""1"": ""Medium distance to surface water (2500-7000 m)"", ""2"": ""Short distance to surface water (1000-2500 m)"", ""3"": ""Very long distance to surface water (15000-37000 m)"", ""4"": ""Very short distance to surface water (<1000 m)""}"
aux_tree_c_cl,tree canopy cover fraction,%,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": -1, ""4"": 4, ""5"": 0}","{""0"": ""High tree cover (10-30%)"", ""1"": ""Low tree cover (1-2%)"", ""2"": ""Medium tree cover (2-10%)"", ""3"": ""NoData"", ""4"": ""Very high tree cover (30-100%)"", ""5"": ""Very low tree cover (<1%)""}"
aux_glad_cl,GLAD land cover class,,,"{""0"": ""Built-up"", ""1"": ""Cropland"", ""2"": ""Dense short vegetation"", ""3"": ""Semi-arid"", ""4"": ""Tree cover"", ""5"": ""Water"", ""6"": ""Wetland""}"
aux_paved_cl,distance to paved road,m,"{""0"": 3, ""1"": 2, ""2"": 1, ""3"": 4, ""4"": 0}","{""0"": ""Long distance to paved road (3000-6000 m)"", ""1"": ""Medium distance to paved road (1000-3000 m)"", ""2"": ""Short distance to paved road (500-1000 m)"", ""3"": ""Very long distance to paved road (6000-59000 m)"", ""4"": ""Very short distance to paved road (<500 m)""}"
aux_unpaved_cl,distance to unpaved road,m,"{""0"": 3, ""1"": 2, ""2"": 1, ""3"": 4, ""4"": 0}","{""0"": ""Long distance to unpaved road (200-1000 m)"", ""1"": ""Medium distance to unpaved road (50-200 m)"", ""2"": ""Short distance to unpaved road (20-50 m)"", ""3"": ""Very long distance to unpaved road (1000-47000 m)"", ""4"": ""Very short distance to unpaved road (<20 m)""}"
aux_pop_10km_cl,population density within 10 km radius,people/km²,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": -1, ""4"": 4, ""5"": 0}","{""0"": ""High population density (8-15 per km2)"", ""1"": ""Low population density (2-4 per km2)"", ""2"": ""Medium population density (4-8 per km2)"", ""3"": ""NoData"", ""4"": ""Very high population density (15-77 per km2)"", ""5"": ""Very low population density (<2 per km2)""}"
